codfonte;codtce;codstnnovo;codstnantigo;descricao;finalidade
260;260;2899;NADA FAZER;TRANSF. DA UNIÃO PARTILHA DE PRODUÇÃO;"Recursos de transferência da União relativos aos valores arrecadados da cessão onerosa do bônus de assinatura do pré-sal, destinados alternativamente para criação de reserva financeira específica para pagamento das despesas previdenciárias com os fundos previdenciários de servidores públicos ou com as contribuições sociais de que tratam as alíneas a e c do parágrafo único do art. 11 da Lei nº 8.212, de 24 de julho de 1991, inclusive os decorrentes do descumprimento de obrigações acessórias e os de contribuições incidentes sobre o décimo terceiro salário, do respectivo ente e de todas as pessoas jurídicas de direito público e privado integrantes de sua administração direta e indireta, ressalvadas as empresas estatais independentes, vincendas até o exercício financeiro do ano subsequente ao ano da transferência de recursos pela União; ou investimento, conforme previsto no § 3° do art.1° da Lei n° 13.885/2019."
261;261;2899;NADA FAZER;AUXÍLIO FINANCEIRO ENFRENTAMENTO À COVID19;Recursos provenientes do auxílio financeiro, destinados às despesas com ações de saúde e assistência social no enfrentamento à Covid-19, conforme disposto no art. 5º, I, b, da Lei Complementar nº 173, de 27 de maio de 2020.
262;262;2899;NADA FAZER;TRANSF. REC. LEI ALDIR BLANC;Recursos de transferência da União destinados a ações emergenciais de apoio ao setor cultural, nos termos da Lei nº 14.017, de 29 de junho de 2020.
263;263;2799;NADA FAZER;TRANSF. DE CONVÊNIOS VINC. À SEGURANÇA PUB.;Recursos provenientes do Fundo Nacional de Segurança Pública recebidos por meio de convênio, de contrato de repasse ou de instrumento congênere, nos termos do disposto no inciso II do caput do artigo 7º da Lei nº 13.756/2018.
264;264;2706;NADA FAZER;TRANSFERÊNCIA ESPECIAL DA UNIÃO;Controle dos recursos transferidos pela União provenientes de emendas individuais impositivas ao orçamento da União, por meio de transferências especiais, nos termos do art. 166-A, inciso I, da Constituição Federal.
265;265;2799;NADA FAZER;OUTROS RECURSOS VINCULADOS;Recursos cuja aplicação seja vinculada e não tenha sido enquadrado em outras especificações.
266;266;2542;NADA FAZER;TRANSFERÊNCIAS DO FUNDEB - VAAT - 70%;Recursos de Complementação da União ao FUNDEB - VAAT, com base no art. 212-A, inciso V, b, da Constituição Federal, destinados ao pagamento da remuneração dos profissionais da educação básica em efetivo exercício.
267;267;2542;NADA FAZER;TRANSFERÊNCIAS DO FUNDEB - VAAT - 30%;Recursos de Complementação da União ao FUNDEB - VAAT, com base no art. 212-A, inciso V, b, da Constituição Federal, destinados ao pagamento de outras despesas da educação básica.
268;268;2899;NADA FAZER;TRANSF. ESP. ESTADO - BARRAGEM BRUMADINHO;Controle dos recursos transferidos pelo Estado, por meio de transferência especial, provenientes do acordo judicial de reparação dos impactos socioeconômicos e ambientais do rompimento de barragem em Brumadinho celebrado com a Vale S.A., de execução orçamentária e financeira obrigatória, conforme disposto no art. 157 do ADCT da Constituição do Estado.
269;269;2710;NADA FAZER;TRANSFERÊNCIA ESPECIAL DOS ESTADOS;Controle dos recursos transferidos pelos Estados provenientes de emendas individuais impositivas ao orçamento desses entes, por meio de transferência especiais, nos termos das constituições estaduais que reproduziram o disposto no art. 166-A, inciso I, da Constituição Federal.
270;270;2501;NADA FAZER;OUTROS RECURSOS NÃO VINCULADOS;Outros recursos não vinculados que não se enquadrem na especificação acima.
271;271;2571;NADA FAZER;TRANSF. DO ESTADO REF. A CONV. EDUCAÇÃO;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com os Estados, cuja destinação encontra-se vinculada a programas da educação.
272;272;2572;NADA FAZER;TRANSF. DE MUNICIPIOS REF. CONV. EDUCAÇÃO;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com outros municípios, cuja destinação encontra-se vinculada a programas da educação.
273;273;2575;NADA FAZER;TRANSF. DE OUT. ENTID. REF. CONV. SAÚDE;Controle dos recursos originários de transferências de entidades privadas, estrangeiras ou multigovernamentais em virtude de assinatura de convênios, contratos de repasse ou legislações específicas, cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social.
274;274;2574;NADA FAZER;OPERAÇÕES DE CRÉDITO VINCULADAS À EDUCAÇÃO;Controle dos recursos originários de operações de crédito, cuja destinação encontra-se vinculada a programas da educação.
275;275;2573;NADA FAZER;ROYALTIES DO PETR. E GÁS NATURAL- EDUCAÇÃO;Controle dos recursos vinculados à Educação, originários de transferências recebidas pelo Município, relativos a Royalties e Participação Especial - Art. 2º da Lei nº 12.858/2013.
276;276;2632;NADA FAZER;TRANSF. DO ESTADO REF. A CONV. SAÚDE;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com os Estados, cuja destinação encontra-se vinculada a programas da saúde.
277;277;2633;NADA FAZER;TRANSF. DE MUNICIPIOS REF. CONV. SAÚDE;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com outros Municípios, cuja destinação encontra-se vinculada a programas da saúde.
278;278;2636;NADA FAZER;TRANSF. DE OUT. ENTID. REF. CONV. EDUCAÇÃO;Controle dos recursos originários de transferências de entidades privadas, estrangeiras ou multigovernamentais em virtude de assinatura de convênios e instrumentos congêneres, cuja destinação encontra-se vinculada a programas de saúde.
279;279;2634;NADA FAZER;OPERAÇÕES DE CRÉDITO VINCULADAS À SAÚDE;Controle dos recursos originários de operações de crédito, cuja destinação encontra-se vinculada a programas da saúde.
280;280;2635;NADA FAZER;ROYALTIES DO PETR. E GÁS NATURAL- SAÚDE;Controle dos recursos vinculados à Saúde, originários de transferências recebidas pelo Município, relativos a Royalties e Participação Especial - Art. 2º da Lei nº 12.858/2013.
281;281;2701;NADA FAZER;OUTRAS TRANSF. DE CONVÊNIOS DOS ESTADOS;Controle dos recursos originários de transferências estaduais em decorrência da celebração de convênios, contratos de repasse e termos de parceria, cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social.
282;282;2702;NADA FAZER;OUTRAS TRANSF. DE CONVÊNIOS DOS MUNICÍPIOS;Controle dos recursos originários de transferências de municípios em decorrência da celebração de convênios, contratos de repasse e termos de parceria, cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social.
283;283;2703;NADA FAZER;OUTRAS TRANSF. DE CONVÊNIOS DE OUT. ENTID.;Controle dos recursos originários de transferências de entidades privadas, estrangeiras ou multigovernamentais em virtude de assinatura de convênios, contratos de repasse ou legislações específicas, cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social.
284;284;2709;NADA FAZER;TRANSF. DA UNIÃO REF. À COMP. REC. HIDRICOS;Controle dos recursos transferidos pela União, referentes à compensação financeira pela exploração dos recursos hídricos em atendimento às destinações e vedações previstas na legislação.
285;285;2753;NADA FAZER;REC. PROVENIENTE DE TAXAS E CONTRIBUIÇÕES;Controle dos recursos de taxas e contribuições vinculadas conforme legislações específicas.
286;286;2704;NADA FAZER;TRANSF. UNIÃO ROYALTIES PETROLEO E GÁS;Controle dos recursos transferidos pela União, originários da arrecadação de royalties, que não sejam destinados às áreas da saúde ou educação.
287;287;2705;NADA FAZER;TRANSF. ESTADOS  ROYALTIES PETROLEO E GÁS;Controle dos recursos transferidos pelos Estados, originários da arrecadação de royalties, que não sejam destinados às áreas da saúde ou educação.
288;288;2659;NADA FAZER;DIS. CAIXA. VINCULADA A RESTOS A PAGAR - SAUDE;Recursos provenientes dos restos a pagar considerados para fins de aplicação mínima em ações e serviços públicos de saúde e posteriormente cancelados ou prescritos, nos termos dos §§1° e 2° do art. 24 da Lei Complementar n° 141, de 13 de janeiro de 2012, que deverão ser, necessariamente, aplicados em ações e serviços de saúde até o término do exercício seguinte ao do cancelamento ou da prescrição dos respectivos restos a pagar.
289;289;2599;NADA FAZER;DIS. CAIXA. VINCULADA A RESTOS A PAGAR - EDUCAÇÃO;Recursos provenientes dos restos a pagar considerados para fins de aplicação mínima na manutenção e desenvolvimento do ensino e posteriormente cancelados ou prescritos, nos termos do §5° do art. 5° da Instrução Normativa n° 13/2008 com redação alterada pela Instrução Normativa n° 05/2012, que deverão ser, necessariamente, aplicados na manutenção e desenvolvimento do ensino até o término do exercício seguinte ao do cancelamento ou da prescrição dos respectivos restos a pagar.
290;290;2754;NADA FAZER;OPERAÇÕES DE CRÉDITO INTERNAS;Recursos provenientes de contratos firmados entre o Município e o Sistema Financeiro Nacional.
291;291;2754;NADA FAZER;OPERAÇÕES DE CRÉDITO EXTERNAS;Recursos provenientes de contratos firmados entre o Município e o Sistema Financeiro Internacional.
292;292;2755;NADA FAZER;ALIENAÇÃO DE BENS;Recursos provenientes da receita de alienação de bens móveis ou imóveis.
293;293;2898;NADA FAZER;OUTRAS RECEITAS NÃO PRIMÁRIAS;Recursos provenientes de receitas não primárias e não classificadas nos itens anteriores
